,run_id,runner_id,game_id,category_id,level_id,run_time,timestamp,system_id,url,run_views
14088,y25en87y,jmoy0348,o1y9wo6q,n2y55mko,,1234.0,2020-06-16,w89rwelk,https://www.youtube.com/watch?v=48dyjLWhHdQ,8
14089,yd51voxm,j2y65768,o1y9wo6q,7dgrrxk4,,5661.0,2020-06-16,w89rwelk,https://www.twitch.tv/videos/652886607,
14090,zqw92n1z,j2y65768,o1y9wo6q,n2y55mko,,1427.0,2020-06-16,w89rwelk,https://www.twitch.tv/videos/652892192,
14091,y4wxn5qm,8v5r4k2j,o1y9wo6q,n2y55mko,,1421.0,2020-06-16,w89rwelk,https://www.twitch.tv/videos/652927369,
14092,mk3dw5vz,68w672qj,o1y9wo6q,n2y55mko,,1077.0,2020-06-16,w89rwelk,https://www.twitch.tv/videos/653004387,
14093,mk3dwkvz,v8159vlj,o1y9wo6q,7dgrrxk4,,3404.0,2020-06-16,w89rwelk,https://www.twitch.tv/videos/652287650,
14094,yw862r0y,8v5r4k2j,o1y9wo6q,n2y55mko,,1326.0,2020-06-16,w89rwelk,https://www.twitch.tv/videos/653101454,
14095,zqw9pprz,1xyldrvj,o1y9wo6q,xk9gg6d0,,479.0,2020-06-16,w89rwelk,https://youtu.be/YpGSqIyagLA,
14096,y25e885y,1xyldrvj,o1y9wo6q,7kjpp4k3,,465.0,2020-06-15,w89rwelk,https://youtu.be/E7Iys0M8mcU,87
14097,zqw9p5rz,xz9006e8,o1y9wo6q,n2y55mko,,1542.0,2020-06-16,w89rwelk,https://www.twitch.tv/videos/653167403,
14098,zgwq69jy,qxkmn26j,o1y9wo6q,wkpoo02r,,6930.0,2020-06-16,w89rwelk,https://www.twitch.tv/videos/653164497,
14099,znkqglvz,e8ew1o68,o1y9wo6q,n2y55mko,,1181.0,2020-06-16,w89rwelk,https://youtu.be/koGsovrsKgg,3
14100,y65xj10z,jn31dq1x,o1y9wo6q,n2y55mko,,1391.0,2020-06-16,w89rwelk,https://www.youtube.com/watch?v=Q3VGEewDfr0,35
14101,z5jxw9jm,zx7z5gq8,o1y9wo6q,7dgrrxk4,,3085.0,2020-06-17,w89rwelk,https://www.twitch.tv/videos/653208530,
14102,yw86523y,xy5y64v8,o1y9wo6q,n2y55mko,,1342.0,2020-06-17,w89rwelk,https://www.youtube.com/watch?v=0UCP_GzWSYc,14
14103,y4wx042m,jn355z1x,o1y9wo6q,n2y55mko,,1176.0,2020-06-17,w89rwelk,https://www.youtube.com/watch?v=cOpZWlq5nLY&t=946s,65
14104,mrkrwk4y,jn36on1x,o1y9wo6q,7dgrrxk4,,6036.088,2020-06-17,w89rwelk,https://www.twitch.tv/videos/653545304,
14105,z15g0n9y,1xy155zx,o1y9wo6q,n2y55mko,,1193.0,2020-06-17,w89rwelk,https://www.twitch.tv/videos/653707654,
14106,y4wxvldm,zxz936r8,o1y9wo6q,7dgrrxk4,,4536.0,2020-06-16,nzelreqp,https://www.twitch.tv/videos/653662078,
14107,z05l2gom,1xyo97zj,o1y9wo6q,n2y55mko,,1267.0,2020-05-15,w89rwelk,https://www.twitch.tv/videos/653789451,
14108,m35x8egy,j92l1zw8,o1y9wo6q,7dgrrxk4,,5960.0,2020-06-17,w89rwelk,https://www.twitch.tv/videos/653820645,
14109,y65xwk0z,dx3z35qj,o1y9wo6q,n2y55mko,,1169.0,2020-06-17,w89rwelk,https://www.twitch.tv/videos/653820512,
14110,zgwq0n0y,8e9ed3pj,o1y9wo6q,7dgrrxk4,,5325.0,2020-06-17,w89rwelk,https://www.youtube.com/watch?v=f9W-ZRA23Sg&t=4967s,18
14111,z15g4jjy,8v5yyn5j,o1y9wo6q,n2y55mko,,1706.0,2020-06-17,w89rwelk,https://youtu.be/peWzOwWDkcM,3
14112,znkql0lz,5j5gwr68,o1y9wo6q,7dgrrxk4,,4777.0,2020-06-17,w89rwelk,https://www.twitch.tv/videos/653936285,
14113,yjldv5nz,5j5gwr68,o1y9wo6q,n2y55mko,,1279.0,2020-06-17,w89rwelk,https://www.twitch.tv/videos/653940016,
14114,z5jx4lnm,kj9l0pwj,o1y9wo6q,n2y55mko,,1220.0,2020-06-17,v06dr394,https://youtu.be/R9R3rh7N4JQ,7
14115,y4wxd92m,qxknvr7x,o1y9wo6q,wkpoo02r,,8613.0,2020-06-17,w89rwelk,https://youtu.be/j9h5W1HvblQ,4
14116,y65x1epz,j2yqgyo8,o1y9wo6q,n2y55mko,,1282.0,2020-06-18,w89rwelk,https://www.twitch.tv/videos/654288426,
14117,ylk18xrz,dx394zkx,o1y9wo6q,xk9gg6d0,,599.0,2020-06-18,w89rwelk,https://youtu.be/YLngrSdpEHc,20
14118,yv60dn6z,dx394zkx,o1y9wo6q,7kjpp4k3,,508.0,2020-06-18,w89rwelk,https://youtu.be/nCHP7FBwf2E,18
14119,znkqn57z,v8lld2l8,o1y9wo6q,wkpoo02r,,8107.0,2020-05-25,w89rwelk,https://www.youtube.com/watch?v=8ocTNAeF8Eg,14
14120,mk3d6rxz,v8lld2l8,o1y9wo6q,7dgrrxk4,,3803.0,2020-06-03,w89rwelk,https://youtu.be/e6GcXap_B-A?t=533,6
14121,z15ge07y,8v5521yj,o1y9wo6q,n2y55mko,,1581.0,2020-06-18,w89rwelk,https://www.youtube.com/watch?v=19-KomOWjig,9
14122,z15gw5jy,j2y14d78,o1y9wo6q,n2y55mko,,1158.0,2020-06-18,w89rwelk,https://youtu.be/554FrzXKHQw,5
14123,y90x492y,jmoyrvn8,o1y9wo6q,n2y55mko,,1797.0,2020-06-18,w89rwelk,https://www.youtube.com/watch?v=_3YXrNf8UY8,
14124,znkqd28z,pj0l653j,o1y9wo6q,wkpoo02r,,6853.0,2020-06-18,v06dr394,https://www.twitch.tv/videos/654573067,
14125,zx28ex5m,8e95537j,o1y9wo6q,n2y55mko,,1236.0,2020-06-16,w89rwelk,https://www.twitch.tv/videos/654610564,
14126,m35l99dy,jprzl548,o1y9wo6q,n2y55mko,,2331.0,2020-06-18,w89rwelk,https://www.twitch.tv/videos/654715537,
14127,y82032xy,qxknvr7x,o1y9wo6q,wkpoo02r,,8233.0,2020-06-18,w89rwelk,https://www.twitch.tv/videos/654763349,
14128,m35l976y,1xyldrvj,o1y9wo6q,xk9gg6d0,,469.0,2020-06-18,w89rwelk,https://www.youtube.com/watch?v=1vHuk20Sp8o,140
